+----------------------+---------+
|      Marking         | Integer |
+----------------------+---------+
| 0000010000100000010 |    60   |
| 0000010000100000101 |    48   |
| 0000010000100001100 |    68   |
| 0000010001000000010 |    39   |
| 0000010001000000101 |    66   |
| 0000010001000010100 |    65   |
| 0000010010000000010 |    53   |
| 0000010010000000101 |    72   |
| 0000010010000100100 |    76   |
| 0000010100000000010 |    84   |
| 0000010100000000101 |    86   |
| 0000010100001000100 |    87   |
| 0000011000000000010 |    73   |
| 0000011000000000101 |    62   |
| 0000011000010000100 |    75   |
| 0000100000100000010 |    14   |
| 0000100000100000101 |    23   |
| 0000100000100001100 |    36   |
| 0000100001000000010 |    51   |
| 0000100001000000101 |    71   |
| 0000100001000010100 |    70   |
| 0000100010000000010 |    37   |
| 0000100010000000101 |    33   |
| 0000100010000100100 |    29   |
| 0000100100000000010 |    24   |
| 0000100100000000101 |    25   |
| 0000100100001000100 |    18   |
| 0000101000000000010 |     4   |
| 0000101000000000101 |     5   |
| 0000101000010000100 |     3   |
| 0001000000100000010 |    15   |
| 0001000000100000101 |    12   |
| 0001000000100001100 |    27   |
| 0001000001000000010 |    21   |
| 0001000001000000101 |    32   |
| 0001000001000010100 |    22   |
| 0001000010000000010 |    31   |
| 0001000010000000101 |    30   |
| 0001000010000100100 |    16   |
| 0001000100000000010 |     8   |
| 0001000100000000101 |     9   |
| 0001000100001000100 |     7   |
| 0001001000000000010 |    90   |
| 0001001000000000101 |    89   |
| 0001001000010000100 |    88   |
| 0010010000100000100 |    57   |
| 0010010001000000100 |    40   |
| 0010010010000000100 |    58   |
| 0010010100000000100 |    80   |
| 0010011000000000100 |    83   |
| 0010100000100000100 |    52   |
| 0010100001000000100 |    46   |
| 0010100010000000100 |    63   |
| 0010100100000000100 |    47   |
| 0010101000000000100 |    43   |
| 0011000000100000100 |    42   |
| 0011000001000000100 |    50   |
| 0011000010000000100 |    64   |
| 0011000100000000100 |    59   |
| 0011001000000000100 |    82   |
| 0100010000100000100 |    49   |
| 0100010001000000100 |    67   |
| 0100010010000000100 |    77   |
| 0100010100000000100 |    81   |
| 0100011000000000100 |    45   |
| 0100100000100000100 |    69   |
| 0100100001000000100 |    61   |
| 0100100010000000100 |    74   |
| 0100100100000000100 |    28   |
| 0100101000000000100 |    79   |
| 0101000000100000100 |    17   |
| 0101000001000000100 |    38   |
| 0101000010000000100 |    41   |
| 0101000100000000100 |    11   |
| 0101001000000000100 |     2   |
| 1000010000100000100 |    56   |
| 1000010001000000100 |    54   |
| 1000010010000000100 |    78   |
| 1000010100000000100 |    85   |
| 1000011000000000100 |    44   |
| 1000100000100000100 |    35   |
| 1000100001000000100 |    55   |
| 1000100010000000100 |    19   |
| 1000100100000000100 |    26   |
| 1000101000000000100 |     6   |
| 1001000000100000100 |    13   |
| 1001000001000000100 |    34   |
| 1001000010000000100 |    20   |
| 1001000100000000100 |    10   |
| 1001001000000000100 |     1   |
+----------------------+---------+
